column_a,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,playlist_name,playlist_img,track_name,artist_name,album_name,album_img
72,3upWWSPnaV7UNmZjMQICN8,0.721,0.615,D,-6.689,major,0.229,0.169,0,0.329,0.45,89.913,117440,4,D major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Sleigh Ride,Tamar Braxton,I'll Be Home For Christmas,https://i.scdn.co/image/08f834b771ce747e37a70c6fa168375ba42fc5a6
73,3VTNVsTTu05dmTsVFrmGpK,0.319,0.651,D,-6.335,major,0.0342,0.501,0.0000473,0.241,0.474,118.501,272200,4,D major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Fairytale of New York (feat. Kirsty MacColl),The Pogues,If I Should Fall From Grace With God (Expanded),https://i.scdn.co/image/28a0ae8f93bdb5148a56838906393906be53a6f9
74,3w88zg08rzoo8zZsvnWD99,0.53,0.14,"D#",-15.702,major,0.0516,0.733,0,0.119,0.416,66.912,228547,4,"D# major",new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Home for Christmas,Maria Mena,Christmas Hits,https://i.scdn.co/image/939adaa29092810cc1c44965b5a5781e38ee7e65
75,3xvFTqHmlMqKjHgczCGn2C,0.633,0.331,C,-9.232,major,0.0528,0.961,0,0.12,0.68,119.809,112872,4,C major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,"Baby, It's Cold Outside",Lydia Liza,"Baby, It's Cold Outside",https://i.scdn.co/image/ca02c16278b939f1f21399eacccb4298353910a7
76,3y8Z2sOJrBt6yKEfsZG1NY,0.703,0.802,D,-4.408,major,0.0286,0.68,0,0.206,0.815,128.847,122400,4,D major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Jingle Bell Rock,Daryl Hall & John Oates,Christmas Hits,https://i.scdn.co/image/939adaa29092810cc1c44965b5a5781e38ee7e65
77,3z0TQeYRBJDpZBQAPbIZAs,0.383,0.144,"A#",-8.588,major,0.0403,0.958,0,0.0987,0.167,173.44,262147,4,"A# major",new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,River,Ward Thomas,River,https://i.scdn.co/image/431f707ec80508b952bddbf8012e8e5a1575875b
78,3zJw3rugfpVrmBeDDnUYzy,0.328,0.607,D,-11.076,major,0.0315,0.319,0,0.765,0.395,146.539,213880,3,D major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Happy Xmas (War Is Over) - Remastered,John Lennon,Power To The People - The Hits,https://i.scdn.co/image/2b8d8b3d509bf68a05aad85b8bbbc714b1d15bf2
79,45nLgLtSiGCTtMFTsN6KeA,0.512,0.327,B,-8.027,minor,0.0264,0.269,0,0.0953,0.17,105.035,201067,4,B minor,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,"Mary, Did You Know?",Pentatonix,Christmas Hits,https://i.scdn.co/image/939adaa29092810cc1c44965b5a5781e38ee7e65
80,47qXmZMqUZDXSnP5zONlwY,0.339,0.375,"G#",-6.146,major,0.0311,0.203,0,0.116,0.182,121.811,281973,4,"G# major",new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Grown-Up Christmas List (feat. Kelly Clarkson),Pentatonix,Christmas Is Here!,https://i.scdn.co/image/d95f2279ad49512299646dadf9e3e11c09c94c5e
81,4DlFHi3tiseC0mQUzxvedg,0.261,0.376,C,-9.174,major,0.0319,0.784,0,0.0991,0.406,171.598,234027,3,C major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Christmas Peacetime,Andreas Weise,Christmas Peacetime,https://i.scdn.co/image/389bb2c6cb0cc9a6e0a2099fbb4934053736fa34
